2026-07-17T08:32:46.149393Z [info     ] === Order Management System Starting === [oms_server] version=1.0.0
2026-07-17T08:32:46.149894Z [info     ] Session log files              [oms_server] oms_log=logs\oms_20260717_140246.log session_datetime=20260717_140246 xts_log=logs\xts_20260717_140246.log
2026-07-17T08:32:46.149894Z [info     ] Configuration loaded           [oms_server] config_path=config.yaml
2026-07-17T08:32:46.150394Z [info     ] Positions loaded from disk     [oms.core.position_tracker] count=0
2026-07-17T08:32:46.262184Z [debug    ] XTS API response               [oms.broker.xts_adapter] body='{"type":"success","code":"s-user-0001","description":"Valid User.","result":{"enums":{"socketEvent":["joined","error","warning","success","order","trade","logout","position","tradeConversion","marketStatusUpdate","exchangeAdapterState","gttOrder","gttOrderRejection"],"orderSide":["BUY","SELL"],"orderSource":["TWS","TWSAPI","Web","WebAPI","MobileAndroid","MobileAndroidAPI","MobileWindows","MobileWindowsAPI","MobileIOS","MobileIOSAPI","OEMS","Algo","FIX","DMA","EnterpriseWeb","EnterpriseMobile","E' status_code=200 url=https://eztrade.wealthdiscovery.in/interactive/user/session
2026-07-17T08:32:46.262682Z [info     ] XTS login successful           [oms.broker.xts_adapter] is_investor_client=True user_id=WD1768
2026-07-17T08:32:46.264693Z [info     ] XTS interactive socket thread started [oms.broker.xts_socket]
2026-07-17T08:32:46.264693Z [info     ] XTS interactive socket feed started [oms_server]
2026-07-17T08:32:46.264693Z [info     ] Starting OMS engine ...        [oms_server]
2026-07-17T08:32:46.265194Z [info     ] Orders restored                [oms.core.order_manager] count=0
2026-07-17T08:32:46.380264Z [info     ] OMS started                    [oms.core.order_manager] pub=tcp://0.0.0.0:5556 pull=tcp://0.0.0.0:5555 workers=3
2026-07-17T08:32:46.381265Z [info     ] Signal receiver started        [oms.core.order_manager]
2026-07-17T08:32:46.381765Z [info     ] Order sync loop started        [oms.core.order_manager] active_interval=2 idle_interval=30
2026-07-17T08:32:46.381765Z [info     ] Order worker started           [oms.core.order_manager] worker_id=0
2026-07-17T08:32:46.381765Z [info     ] Order worker started           [oms.core.order_manager] worker_id=1
2026-07-17T08:32:46.382263Z [info     ] Order worker started           [oms.core.order_manager] worker_id=2
2026-07-17T08:32:47.466558Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:32:50.482637Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:32:53.488471Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:32:56.497117Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:32:59.507841Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:02.517590Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:05.527989Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:08.536185Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:11.543243Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:14.550483Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:17.558319Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:20.564576Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:23.570119Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:26.582191Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:29.585537Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:32.591979Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:35.600149Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:38.609103Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:41.616602Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:44.622784Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:47.633311Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T08:33:50.643624Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
