2026-07-17T07:09:37.170635Z [info     ] === Order Management System Starting === [oms_server] version=1.0.0
2026-07-17T07:09:37.170635Z [info     ] Session log files              [oms_server] oms_log=logs\oms_20260717_123937.log session_datetime=20260717_123937 xts_log=logs\xts_20260717_123937.log
2026-07-17T07:09:37.171132Z [info     ] Configuration loaded           [oms_server] config_path=config.yaml
2026-07-17T07:09:37.171132Z [info     ] Positions loaded from disk     [oms.core.position_tracker] count=0
2026-07-17T07:09:37.321269Z [debug    ] XTS API response               [oms.broker.xts_adapter] body='{"type":"success","code":"s-user-0001","description":"Valid User.","result":{"enums":{"socketEvent":["joined","error","warning","success","order","trade","logout","position","tradeConversion","marketStatusUpdate","exchangeAdapterState","gttOrder","gttOrderRejection"],"orderSide":["BUY","SELL"],"orderSource":["TWS","TWSAPI","Web","WebAPI","MobileAndroid","MobileAndroidAPI","MobileWindows","MobileWindowsAPI","MobileIOS","MobileIOSAPI","OEMS","Algo","FIX","DMA","EnterpriseWeb","EnterpriseMobile","E' status_code=200 url=https://eztrade.wealthdiscovery.in/interactive/user/session
2026-07-17T07:09:37.321770Z [info     ] XTS login successful           [oms.broker.xts_adapter] is_investor_client=True user_id=WD1768
2026-07-17T07:09:37.325272Z [info     ] XTS interactive socket thread started [oms.broker.xts_socket]
2026-07-17T07:09:37.325770Z [info     ] XTS interactive socket feed started [oms_server]
2026-07-17T07:09:37.325770Z [info     ] Starting OMS engine ...        [oms_server]
2026-07-17T07:09:37.326791Z [info     ] Orders restored                [oms.core.order_manager] count=0
2026-07-17T07:09:37.449879Z [info     ] OMS started                    [oms.core.order_manager] pub=tcp://0.0.0.0:5556 pull=tcp://0.0.0.0:5555 workers=3
2026-07-17T07:09:37.450389Z [info     ] Signal receiver started        [oms.core.order_manager]
2026-07-17T07:09:37.450389Z [info     ] Order sync loop started        [oms.core.order_manager] active_interval=2 idle_interval=30
2026-07-17T07:09:37.450389Z [info     ] Order worker started           [oms.core.order_manager] worker_id=0
2026-07-17T07:09:37.450897Z [info     ] Order worker started           [oms.core.order_manager] worker_id=1
2026-07-17T07:09:37.450897Z [info     ] Order worker started           [oms.core.order_manager] worker_id=2
2026-07-17T07:09:38.524373Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:41.536718Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:44.544522Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:47.553816Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:50.561678Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:53.569866Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:56.575828Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:09:59.583131Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:02.590248Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:05.600229Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:08.608303Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:11.617673Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:14.626301Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:17.634726Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:20.645133Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:23.653694Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:26.662274Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:29.671624Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:32.681098Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:35.689670Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:38.699273Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T07:10:41.705896Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
